user_id,book_title,book_rating,user_idx,book_idx
6575,Where the Heart Is (Oprah's Book Club (Paperback)),8,0,456
6575,Balzac and the Little Chinese Seamstress : A Novel,9,0,44
6575,Bridget Jones: The Edge of Reason,6,0,63
6575,Me Talk Pretty One Day,8,0,210
6575,The Girls' Guide to Hunting and Fishing,8,0,342
6575,Wicked: The Life and Times of the Wicked Witch of the West,9,0,463
6575,How Stella Got Her Groove Back,7,0,170
6575,The Hitchhiker's Guide to the Galaxy,8,0,354
6575,A Map of the World,7,0,9
6575,The Other Boleyn Girl,7,0,383
6575,All I Really Need to Know,5,0,23
6575,Griffin &amp; Sabine: An Extraordinary Correspondence,9,0,148
6575,Seven Up (A Stephanie Plum Novel),9,0,272
6575,Bridget Jones's Diary,4,0,62
6575,Coraline,9,0,85
6575,Watership Down,4,0,450
6575,One for the Money (A Stephanie Plum Novel),9,0,237
6575,A Heartbreaking Work of Staggering Genius,7,0,7
6575,A Bend in the Road,1,0,4
6575,Tears of the Giraffe (No.1 Ladies Detective Agency),9,0,294
6575,The Sweet Potato Queens' Book of Love,8,0,414
6575,The Red Tent (Bestselling Backlist),8,0,398
6575,Blue Diary,4,0,57
6575,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),9,0,381
6575,Midnight in the Garden of Good and Evil: A Savannah Story,6,0,216
6575,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",6,0,441
6575,Sabine's Notebook: In Which the Extraordinary Correspondence of Griffin &amp; Sabine Continues,9,0,266
6575,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,8,0,330
6575,Three Junes,7,0,434
6575,Divine Secrets of the Ya-Ya Sisterhood: A Novel,8,0,99
6575,The English Patient,8,0,334
6575,A Is for Alibi (Kinsey Millhone Mysteries (Paperback)),7,0,8
6575,Message in a Bottle,2,0,212
6575,Midwives: A Novel,7,0,217
6575,Snow Falling on Cedars,7,0,283
6575,The Secret Life of Bees,8,0,406
6575,Plainsong (Vintage Contemporaries),8,0,246
6575,Me Talk Pretty One Day,9,0,210
6575,Fingersmith,8,0,126
6575,"The Golden Compass (His Dark Materials, Book 1)",5,0,346
6575,Girl in Hyacinth Blue,7,0,142
6575,Two for the Dough,9,0,442
6575,Four To Score (A Stephanie Plum Novel),9,0,133
6575,Confessions of a Shopaholic (Summer Display Opportunity),5,0,82
6575,The Joy Luck Club,9,0,365
6575,Girl with a Pearl Earring,6,0,143
7346,From Potter's Field,8,1,135
7346,The Street Lawyer,10,1,411
7346,Chicken Soup for the Soul (Chicken Soup for the Soul),7,1,72
7346,Empire Falls,8,1,112
7346,Wicked: The Life and Times of the Wicked Witch of the West,7,1,463
7346,Rebecca,9,1,255
7346,Shopaholic Takes Manhattan (Summer Display Opportunity),8,1,275
7346,Four To Score (A Stephanie Plum Novel),8,1,133
7346,Black Notice,7,1,53
7346,H Is for Homicide (Kinsey Millhone Mysteries (Paperback)),7,1,150
7346,The Summons,8,1,413
7346,Pride and Prejudice,10,1,253
7346,The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,8,1,392
